,EOM,EVENT_IMPACT
0,2010-04-30,1.0
1,2011-01-31,1.0
2,2012-03-31,1.0
3,2013-05-31,1.0
4,2015-01-31,5.704962619346911
5,2015-02-28,5.387354685429072
6,2015-03-31,6.401102141599916
7,2015-04-30,1.2204345815996303
8,2015-05-31,4.813469920414733
9,2015-06-30,4.574836290478766
10,2015-08-31,4.455308446060457
11,2015-09-30,11.715807454653529
12,2015-10-31,9.778397139916564
13,2015-11-30,10.802859194852399
14,2015-12-31,4.435192682561103
15,2016-01-31,15.46254773033016
16,2016-02-29,11.389225469743131
17,2016-03-31,13.0768492629132
18,2016-04-30,10.661016949152543
19,2016-05-31,10.706474115972242
20,2016-06-30,15.312560200510347
21,2016-07-31,6.653977810264525
22,2016-08-31,8.25129516689619
23,2016-09-30,8.769716600762745
24,2016-10-31,14.697245784356761
25,2016-11-30,12.535851926138482
26,2016-12-31,7.138903465026594
27,2017-01-31,9.608519920892642
28,2017-02-28,12.639724341203484
29,2017-03-31,12.62561917821877
30,2017-04-30,3.5818098851613764
31,2017-05-31,7.976261551801388
32,2017-06-30,6.815162930469625
33,2017-07-31,5.261235695097514
34,2017-08-31,6.43143158322166
35,2017-09-30,6.951013156259618
36,2017-10-31,7.943776033633144
37,2017-11-30,11.508568084273918
38,2017-12-31,1.5126404671717173
39,2018-01-31,11.186124346878337
40,2018-02-28,4.854589780261268
41,2018-03-31,3.861263221554157
42,2018-04-30,3.4634154957487873
43,2018-05-31,12.458246485313252
44,2018-06-30,10.062484029050216
45,2018-07-31,3.025218076942215
46,2018-08-31,4.696006659103024
47,2018-09-30,2.496147085286454
48,2018-10-31,6.258201061148479
49,2018-11-30,12.966481184746254
50,2018-12-31,4.308483778428959
51,2019-01-31,7.371499344724127
52,2019-02-28,10.924972524304746
53,2019-03-31,9.604480992351732
54,2019-04-30,6.332649197424734
55,2019-05-31,6.672299672659967
56,2019-06-30,13.491262413885838
57,2019-07-31,4.259831897154477
58,2019-08-31,4.8866162577913625
59,2019-09-30,5.240613651076103
60,2019-10-31,10.156914458738596
61,2019-11-30,8.749284042878674
62,2019-12-31,5.461453617115913
63,2020-01-31,32.64332460848883
64,2020-02-29,10.15567093941012
65,2020-03-31,15.602020502300734
66,2020-04-30,19.15269435489865
67,2020-05-31,10.68814483050515
68,2020-06-30,12.979745408619063
69,2020-07-31,8.003087091913066
70,2020-08-31,5.654973819563861
71,2020-09-30,8.783467065665365
72,2020-10-31,3.7795760924675195
73,2020-11-30,5.1073235314808905
74,2020-12-31,5.554061231540726
75,2021-01-31,4.804550250465335
76,2021-02-28,10.242252754579267
77,2021-03-31,8.66271506749182
78,2021-04-30,5.165902037407556
79,2021-05-31,3.586573022102871
80,2021-07-31,0.010655634950482638
81,2021-08-31,0.7866242038216561
82,2021-09-30,2.390625
83,2021-10-31,8.84503626979424
84,2021-11-30,4.881273077941688
85,2021-12-31,1.0279815943290636
