,SRC_UID,EOM,WEIGHTED,COUNTRY,PSU,PSU_SCORE
1702,28283084613,30.09.2012,0.4392,CHINA,China,1.0
1703,613346505712,30.09.2012,0.6245,AUSTRALIA,Australia,1.0
1704,369592842106,30.09.2012,0.5545,U.S.A.,US,2.0
1705,272675524722,30.09.2012,0.48,U.S.A.,US,2.0
1706,52079200642,30.09.2012,0.5343,U.S.A.,US,2.0
1707,269289662016,30.09.2012,0.3947,UNITED KINGDOM,UK,2.0
1708,63446153971,30.09.2012,0.21600000000000003,U.S.A.,US,2.0
1709,188703129863464,30.09.2012,1.0004,RUSSIA,World,2.0
1710,880886802006,31.12.2019,0.3316,U.S.A.,US,4.0
1711,63446153971,31.12.2019,0.633,U.S.A.,US,4.0
1712,186614022288995,31.12.2012,0.48200000000000004,CHINA,China,1.0
1713,272675524722,31.12.2019,0.5329,U.S.A.,US,4.0
1714,186759829869822,31.12.2019,0.5735,U.S.A.,US,4.0
1715,206670723,31.12.2019,0.6108,U.S.A.,US,4.0
1716,186614022288995,30.09.2011,0.161,CHINA,China,3.0
1717,269297001426,30.11.2011,0.9,U.S.A.,US,3.0
1718,437983596250,30.09.2011,0.909,SWITZERLAND,Switzerland,2.0
1719,413976258580,30.09.2011,0.524,U.S.A.,US,4.0
1720,613346505712,30.09.2011,0.6409999999999999,AUSTRALIA,Australia,2.0
1721,186759829869822,30.11.2011,0.423,U.S.A.,US,3.0
1722,117163705630,30.11.2011,0.49,U.S.A.,US,3.0
1723,206670694,31.12.2019,0.5141,U.S.A.,US,4.0
1724,638750702637,30.11.2011,0.958,RUSSIA,World,2.0
1725,182009288255,30.11.2011,0.318,FRANCE,Eurozone,1.0
1726,52079200642,30.11.2011,0.514,U.S.A.,US,3.0
1727,207934051132,31.12.2019,0.7706,U.S.A.,US,4.0
1728,1134069654772,31.12.2012,0.5193,U.S.A.,US,2.0
1729,369592842106,31.12.2012,0.5384,U.S.A.,US,2.0
1730,880886802006,31.12.2012,0.40700000000000003,U.S.A.,US,2.0
1731,206670742,31.12.2012,0.878,U.S.A.,US,2.0
1732,207934051132,31.12.2012,0.627,U.S.A.,US,2.0
1733,1489765858,31.12.2012,0.6289,AUSTRALIA,Australia,1.0
1734,206670715,31.12.2012,0.1789,CHINA,China,1.0
1735,206670716,31.12.2012,0.33299999999999996,UNITED KINGDOM,UK,1.0
1736,1320217138160,31.12.2012,0.9157,U.S.A.,US,2.0
1737,189669396589741,31.12.2012,0.1638,CHINA,China,1.0
1738,206670727,31.12.2012,0.3263,UNITED KINGDOM,UK,1.0
1739,272675524722,31.12.2011,0.358,U.S.A.,US,4.0
1740,206670723,31.12.2011,0.47100000000000003,U.S.A.,US,4.0
1741,103848517578,31.12.2011,0.34,U.S.A.,US,4.0
1742,269287883541,30.04.2012,0.997,JAPAN,Japan,4.0
1743,1521081543045,30.04.2012,0.28300000000000003,KUWAIT,EMEA,3.0
1744,28283084613,31.03.2013,0.4345,CHINA,China,2.0
1745,206670764,31.03.2013,0.6234,RUSSIA,World,3.0
1746,105401395916,31.03.2013,0.439,U.S.A.,US,3.0
1747,55902523917,31.03.2013,0.1751,CHINA,China,2.0
1748,63446153971,31.03.2013,0.2499,INDIA,Emerging Asia (ex-China),2.0
1749,186759829869822,31.03.2013,0.4729,U.S.A.,US,3.0
1750,186494805556422,31.05.2013,0.187,FRANCE,Eurozone,3.0
1751,206670716,31.07.2012,0.359,UNITED KINGDOM,UK,3.0
1752,613346505712,31.07.2012,0.637,AUSTRALIA,Australia,3.0
1753,38326395382,30.09.2012,0.8626,U.S.A.,US,2.0
1754,272675524722,31.07.2012,0.47700000000000004,U.S.A.,US,4.0
1755,206670770,30.09.2012,0.2421,CHINA,China,1.0
1756,1320217138160,30.09.2012,0.9185,U.S.A.,US,2.0
1757,275505523,30.09.2012,0.331,UNITED KINGDOM,UK,2.0
1758,206670764,30.09.2012,0.6154,RUSSIA,World,2.0
1759,206670693,31.10.2011,0.067,BRAZIL,Latin America,1.0
1760,206670716,31.10.2011,0.34299999999999997,UNITED KINGDOM,UK,1.0
1761,207934051132,31.01.2019,0.7173,U.S.A.,US,2.0
1762,206670770,31.10.2011,0.29,CHINA,China,3.0
1763,206670727,31.10.2011,0.363,UNITED KINGDOM,UK,1.0
1764,206670715,31.10.2011,0.191,CHINA,China,3.0
1765,188703116701652,31.05.2012,0.993,INDIA,Emerging Asia (ex-China),3.0
