,SRC_UID,EOM,WEIGHTED,COUNTRY,PSU
1831,189395860675734,30.11.2012,0.36200000000000004,INDIA,Emerging Asia (ex-China)
1832,613346505712,31.08.2019,0.5764,AUSTRALIA,Australia
1833,55902523917,31.08.2019,0.3201,CHINA,China
1834,269297001426,31.10.2012,0.9042,U.S.A.,US
1835,63446153971,31.10.2012,0.2135,U.S.A.,US
1836,1489765858,31.10.2012,0.6348,AUSTRALIA,Australia
1837,186494805556422,31.10.2012,0.191,GERMANY,Eurozone
1838,186761292782742,30.09.2012,0.2617,FRANCE,Eurozone
1839,1540205570554,30.09.2012,0.2617,FRANCE,Eurozone
1840,186711785308213,31.10.2012,0.344,U.S.A.,US
1841,105401395916,30.09.2012,0.408,U.S.A.,US
1842,105401395916,31.12.2019,0.4555,U.S.A.,US
1843,413976258580,30.04.2012,0.547,U.S.A.,US
1844,188703102004066,30.04.2012,0.997,BRAZIL,Latin America
1845,323418458,30.04.2012,0.141,FRANCE,Eurozone
1846,880886802006,30.04.2012,0.387,U.S.A.,US
1847,188703124648158,30.04.2012,0.37200000000000005,CHINA,China
1848,203221423898215,31.12.2019,0.6777,U.S.A.,US
1849,656760542396,31.12.2019,0.4594,U.S.A.,US
1850,188703112484212,30.04.2012,0.621,BRAZIL,Latin America
1851,1489765858,31.01.2013,0.6329,AUSTRALIA,Australia
1852,272675524722,31.01.2013,0.5176,U.S.A.,US
1853,28283084613,31.01.2013,0.4572,CHINA,China
1854,206670698,28.02.2013,0.1733,ITALY,Eurozone
1855,108218596431,28.02.2013,0.1733,ITALY,Eurozone
1856,181989439245,28.02.2013,0.7312,FRANCE,Eurozone
1857,38326395382,28.02.2013,0.5704,U.S.A.,US
1858,1451747082532,28.02.2013,0.5704,U.S.A.,US
1859,301519260,28.02.2013,0.2834,U.S.A.,US
1860,460145818838,28.02.2013,0.2834,U.S.A.,US
1861,186267307833917,31.08.2019,0.2369,ITALY,Eurozone
1862,206670698,31.08.2019,0.1482,FRANCE,Eurozone
1863,1134069654772,31.10.2011,0.46399999999999997,U.S.A.,US
1864,63446153971,30.11.2011,0.221,INDIA,Emerging Asia (ex-China)
1865,656760542396,31.10.2011,0.475,U.S.A.,US
1866,188703102004066,31.10.2011,0.9990000000000001,BRAZIL,Latin America
1867,189669396589741,31.07.2012,0.149,CHINA,China
1868,187875659113037,31.07.2012,0.406,U.S.A.,US
1869,1489765858,31.07.2012,0.637,AUSTRALIA,Australia
1870,55902523917,31.07.2012,0.17,CHINA,China
